dataset,model,feature,LLM_model,label,rewritten_type,main_model_on_org,main_model_on_rewritten,p_value,main_model_on_rewritten_higher
essays,gradient_boosting,tfidf,gemini,CON,rephrase,0.6618287840117774,0.6194671836693267,0.23865520838102827,False
essays,gradient_boosting,openai,gemini,CON,rephrase,0.69909343121377,0.6184765767665751,0.011868274357372621,False
essays,svm,tfidf,gemini,CON,rephrase,0.6993303538422413,0.6457054071369966,0.11987699229832137,False
essays,svm,openai,gemini,CON,rephrase,0.6878248871569526,0.6264986763223409,0.04474331960532182,False
essays,random_forest,tfidf,gemini,CON,rephrase,0.6600979666563392,0.460222370304204,0.00012234158339547222,False
essays,random_forest,openai,gemini,CON,rephrase,0.700729429215454,0.6135698854721356,0.02274796793115378,False
essays,regression,tfidf,gemini,CON,rephrase,0.6014009640797706,0.43894012634043517,0.000902035439630238,False
essays,regression,openai,gemini,CON,rephrase,0.5774254933195735,0.5328040504146336,0.27921277487886925,False
essays,longformer,longformer,gemini,CON,rephrase,,,,False
essays,gradient_boosting,tfidf,gemini,CON,syntax_grammar,0.6834954641768568,0.6055113256359562,0.004770984535652561,False
essays,gradient_boosting,openai,gemini,CON,syntax_grammar,0.6794660368674558,0.6051772677300279,0.10203818459960134,False
essays,svm,tfidf,gemini,CON,syntax_grammar,0.6912763915200235,0.6433877102980688,0.16242939651773788,False
essays,svm,openai,gemini,CON,syntax_grammar,0.6552742563305592,0.6137322417300126,0.28450721149858965,False
essays,random_forest,tfidf,gemini,CON,syntax_grammar,0.6590158839309784,0.5719892395857207,0.009051690292339062,False
essays,random_forest,openai,gemini,CON,syntax_grammar,0.6473832807150789,0.5958358752634674,0.19110190128811644,False
essays,regression,tfidf,gemini,CON,syntax_grammar,,,,False
essays,regression,openai,gemini,CON,syntax_grammar,0.6403361315972035,0.45734485326459245,0.0006855739218267819,False
essays,longformer,longformer,gemini,CON,syntax_grammar,0.6615552980843191,0.5115993348124026,0.005465110226811237,False
essays,gradient_boosting,tfidf,llama,CON,rephrase,0.6852932659488589,0.6368337964949558,0.2206168295291375,False
essays,gradient_boosting,openai,llama,CON,rephrase,0.6593328804850812,0.6402593356068736,0.5862347933401068,False
essays,svm,tfidf,llama,CON,rephrase,0.6813299712611417,0.6047116287480218,0.006192803374814628,False
essays,svm,openai,llama,CON,rephrase,0.7169080181682418,0.6406627127686203,0.008599930239943277,False
essays,random_forest,tfidf,llama,CON,rephrase,0.651130047600064,0.5182469165239828,0.0001192156767030666,False
essays,random_forest,openai,llama,CON,rephrase,0.6711327028399475,0.6480875368288285,0.4683385085349786,False
essays,regression,tfidf,llama,CON,rephrase,0.5892646859381546,0.45998317922064064,0.003909287922978145,False
essays,regression,openai,llama,CON,rephrase,0.5863850914003139,0.54420722291915,0.13566765757624072,False
essays,longformer,longformer,llama,CON,rephrase,,,,False
essays,gradient_boosting,tfidf,llama,CON,syntax_grammar,0.6816432630899251,0.6331671913426803,0.07240691836472607,False
essays,gradient_boosting,openai,llama,CON,syntax_grammar,0.6473529636757015,0.6227577766063334,0.40910850458249404,False
essays,svm,tfidf,llama,CON,syntax_grammar,0.7031721636343095,0.6622597213054447,0.18514634531401422,False
essays,svm,openai,llama,CON,syntax_grammar,0.7034542670224354,0.6612933396656466,0.2063089100067685,False
essays,random_forest,tfidf,llama,CON,syntax_grammar,0.6159129490263415,0.5927441748510572,0.3714103328783913,False
essays,random_forest,openai,llama,CON,syntax_grammar,0.6766761134294711,0.5981143378634186,0.00986709662119553,False
essays,regression,tfidf,llama,CON,syntax_grammar,0.5885377399263582,0.49351725730449747,0.023984875548781658,False
