LLM_model,main_model_on_rewritten_significance,id
gemini,1,1
gemini,0,2
gemini,1,3
gemini,0,4
gemini,1,5
gemini,0,6
gemini,1,7
gemini,1,8
gemini,1,9
gemini,0,10
gemini,1,11
gemini,0,12
gemini,1,13
gemini,0,14
gemini,1,15
gemini,1,16
llama,0,1
llama,1,2
llama,1,3
llama,0,4
llama,0,5
llama,0,6
llama,0,7
llama,1,8
llama,0,9
llama,0,10
llama,0,11
llama,0,12
llama,0,13
llama,0,14
llama,0,15
llama,0,16
gpt,0,1
gpt,1,2
gpt,0,3
gpt,0,4
gpt,0,5
gpt,0,6
gpt,0,7
gpt,1,8
gpt,1,9
gpt,1,10
gpt,0,11
gpt,0,12
gpt,1,13
gpt,0,14
gpt,0,15
gpt,0,16
gemini,0,18
gemini,0,19
gemini,1,20
gemini,1,21
gemini,1,22
gemini,1,23
gemini,1,25
gemini,0,26
gemini,0,27
gemini,1,28
llama,0,18
llama,1,19
llama,1,20
llama,0,21
llama,1,22
llama,1,23
llama,0,25
llama,0,26
llama,0,27
llama,0,28
gpt,0,18
gpt,0,19
gpt,0,20
gpt,1,21
gpt,0,22
gpt,0,23
gpt,1,25
gpt,0,26
gpt,0,27
gpt,0,28
gemini,1,30
gemini,0,31
gemini,1,32
gemini,0,33
gemini,1,34
gemini,0,35
gemini,1,36
gemini,0,37
gemini,0,38
gemini,0,39
gemini,1,40
gemini,0,41
gemini,1,42
gemini,0,43
gemini,0,44
gemini,0,45
llama,1,30
llama,0,31
llama,0,32
llama,0,33
llama,0,34
llama,0,35
llama,0,36
llama,1,37
llama,0,38
llama,0,39
llama,0,40
llama,0,41
llama,0,42
llama,0,43
llama,0,44
llama,0,45
gpt,0,30
gpt,0,31
gpt,1,32
gpt,0,33
gpt,1,34
gpt,0,35
gpt,0,36
gpt,0,37
gpt,0,38
gpt,0,39
gpt,0,40
gpt,0,41
gpt,1,42
gpt,0,43
gpt,0,44
gpt,0,45
